Month,,,,Data for Chermside,,,,,,,,,,,,,,,,,,,
January 2021,Rainfall (mm),February 2021,Rainfall (mm),March 2021,Rainfall (mm),April 2021,Rainfall (mm),May 2021,Rainfall (mm),June 2021,Rainfall (mm),July 2021,Rainfall (mm),August 2021,Rainfall (mm),September 2021,Rainfall (mm),October 2021,Rainfall (mm),November 2021,Rainfall (mm),December 2021,Rainfall (mm)
1,2.4,1,1.4,1,0,1,0,1,6.2,1,0,1,7,1,0,1,0,1,15,1,0,1,75.4
2,1.8,2,19.8,2,0,2,2.8,2,12,2,0,2,7,2,0,2,3.4,2,8.8,2,0,2,5.2
3,0,3,44.6,3,6.2,3,0,3,2.4,3,0,3,17.8,3,0,3,0.2,3,0,3,0.2,3,0
4,0,4,0.2,4,0.6,4,8.4,4,0.2,4,4.4,4,2.8,4,0,4,2.2,4,0,4,0,4,0
5,1,5,0.2,5,0,5,9.4,5,17.6,5,0,5,0,5,0,5,0,5,0,5,0,5,0
6,0.4,6,0,6,0,6,45.4,6,18.8,6,0,6,0,6,0,6,0.2,6,0,6,1.2,6,0
7,2.8,7,0,7,0,7,20.6,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
8,0,8,0.6,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0.6,8,12.6,8,0
9,5.6,9,0,9,25.6,9,0,9,0,9,1.4,9,10,9,1.4,9,0,9,0,9,2.4,9,0
10,0.6,10,0,10,0,10,0,10,0,10,0,10,1.4,10,0,10,0,10,0,10,0,10,17.8
11,0,11,0,11,0,11,0,11,0,11,0,11,0.2,11,0.2,11,0,11,0,11,2.4,11,0
12,0,12,0,12,0.8,12,0.2,12,7.8,12,0,12,0,12,0,12,0,12,35.2,12,26.6,12,0
13,0,13,0,13,0.4,13,0,13,24.8,13,,13,0,13,0.2,13,0,13,0.6,13,0.2,13,0
14,0,14,1.6,14,0.2,14,0,14,0,14,0,14,0,14,1.8,14,0.8,14,51.4,14,0,14,0
15,0,15,0.2,15,6.6,15,0,15,0,15,0,15,0,15,0,15,0,15,0.8,15,0,15,0
16,0,16,0,16,12.4,16,0,16,0,16,14,16,0.2,16,0,16,0,16,0.2,16,0,16,0
17,31.6,17,5.4,17,11.6,17,0,17,0,17,0.2,17,0.6,17,0,17,0,17,0,17,0,17,0
18,0,18,16.6,18,15.4,18,24.6,18,0,18,0,18,0,18,0,18,0,18,0,18,0.6,18,1.6
19,35.4,19,12.2,19,0,19,0.2,19,0,19,0,19,0,19,0,19,0,19,18,19,0,19,0
20,0,20,0.4,20,20.8,20,0,20,0,20,0,20,0,20,0.2,20,0,20,0,20,0,20,0
21,0,21,1.2,21,1,21,0,21,0,21,0,21,0,21,0,21,0,21,2.4,21,0,21,0
22,0,22,0,22,125,22,0,22,0,22,0,22,0,22,0,22,0,22,9.2,22,23.6,22,0
23,0,23,8.2,23,52.6,23,0,23,0,23,0.2,23,0,23,0,23,0,23,0.2,23,13.2,23,0
24,0,24,10.6,24,21.4,24,0,24,0,24,0.8,24,4.2,24,4.2,24,0,24,2.6,24,121,24,17
25,4.4,25,16.8,25,0,25,0,25,0,25,1.4,25,0,25,0.4,25,0,25,0.2,25,13.2,25,0
26,0,26,0.2,26,0,26,0,26,0,26,2.2,26,0,26,0,26,0,26,1.4,26,9.8,26,7.6
27,0.2,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0.4,27,0,27,0.2,27,0
28,0.4,28,4,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,14.6
29,0,,,29,0,29,0.6,29,0,29,0,29,0,29,0,29,0.2,29,0.4,29,0,29,0
30,0,,,30,0,30,0,30,0,30,1.8,30,0,30,0,30,3.4,30,0.4,30,30.2,30,0
31,0,,,31,0,,,31,0,,,31,0,31,0,,,31,12,,,31,0
,,,,,,,,,,,,,,,,,,,,,,,
January 2022,Rainfall (mm),February 2022,Rainfall (mm),March 2022,Rainfall (mm),April 2022,Rainfall (mm),May 2022,Rainfall (mm),June 2022,Rainfall (mm),July 2022,Rainfall (mm),August 2022,Rainfall (mm),,,,,,,,
